Datetime;Battery Level (%);5600 Pressure (Bar);5600 Temperature (°C)
2025-01-18 19:35:22.864;100;1.294;3.9
2025-01-18 19:35:22.964;100;1.294;3.9
2025-01-18 19:35:23.064;100;1.294;3.9
2025-01-18 19:35:23.164;100;1.294;3.9
2025-01-18 19:35:23.264;100;1.294;3.9
2025-01-18 19:35:23.364;100;1.294;3.9
2025-01-18 19:35:23.464;100;1.294;3.9
2025-01-18 19:35:23.564;100;1.294;3.9
2025-01-18 19:35:23.663;100;1.294;3.9
2025-01-18 19:35:23.764;100;1.294;3.9
2025-01-18 19:35:23.864;100;1.294;3.9
2025-01-18 19:35:23.964;100;1.294;3.9
2025-01-18 19:35:24.064;100;1.294;3.9
2025-01-18 19:35:24.164;100;1.294;3.9
2025-01-18 19:35:24.264;100;1.294;3.9
2025-01-18 19:35:24.364;100;1.294;3.9
2025-01-18 19:35:24.464;100;1.294;3.9
2025-01-18 19:35:24.564;100;1.294;3.9
2025-01-18 19:35:24.664;100;1.294;3.9
2025-01-18 19:35:24.764;100;1.294;3.9
2025-01-18 19:35:24.864;100;1.294;3.9
2025-01-18 19:35:24.964;100;1.294;3.9
2025-01-18 19:35:25.064;100;1.294;3.9
2025-01-18 19:35:25.164;100;1.294;3.9
2025-01-18 19:35:25.264;100;1.294;3.9
2025-01-18 19:35:25.364;100;1.294;3.9
2025-01-18 19:35:25.464;100;1.294;3.9
2025-01-18 19:35:25.564;100;1.294;3.9
2025-01-18 19:35:25.663;100;1.294;3.9
2025-01-18 19:35:25.764;100;1.294;3.9
2025-01-18 19:35:25.864;100;1.294;3.9
2025-01-18 19:35:25.964;100;1.294;3.9
2025-01-18 19:35:26.064;100;1.294;3.9
2025-01-18 19:35:26.163;100;1.294;3.9
2025-01-18 19:35:26.264;100;1.294;3.9
2025-01-18 19:35:26.364;100;1.294;3.9
2025-01-18 19:35:26.464;100;1.294;3.9
2025-01-18 19:35:26.564;100;1.294;3.9
2025-01-18 19:35:26.663;100;1.294;3.9
2025-01-18 19:35:26.764;100;1.294;3.9
2025-01-18 19:35:26.864;100;1.294;3.9
2025-01-18 19:35:26.964;100;1.294;3.9
2025-01-18 19:35:27.064;100;1.294;3.9
2025-01-18 19:35:27.164;100;1.294;3.9
2025-01-18 19:35:27.264;100;1.294;3.9
2025-01-18 19:35:27.364;100;1.294;3.9
2025-01-18 19:35:27.464;100;1.294;3.9
2025-01-18 19:35:27.563;100;1.294;3.9
2025-01-18 19:35:27.663;100;1.294;3.9
2025-01-18 19:35:27.764;100;1.294;3.9
2025-01-18 19:35:27.864;100;1.294;3.9
2025-01-18 19:35:27.964;100;1.294;3.9
2025-01-18 19:35:28.064;100;1.294;3.9
2025-01-18 19:35:28.163;100;1.294;3.9
2025-01-18 19:35:28.264;100;1.294;3.9
2025-01-18 19:35:28.364;100;1.294;3.9
2025-01-18 19:35:28.464;100;1.294;3.9
2025-01-18 19:35:28.564;100;1.295;3.9
2025-01-18 19:35:28.664;100;1.294;3.9
2025-01-18 19:35:28.764;100;1.294;3.9
2025-01-18 19:35:28.864;100;1.294;3.9
2025-01-18 19:35:28.964;100;1.294;3.9
2025-01-18 19:35:29.064;100;1.294;3.9
2025-01-18 19:35:29.164;100;1.294;3.9
2025-01-18 19:35:29.264;100;1.294;3.9
2025-01-18 19:35:29.364;100;1.321;3.9
2025-01-18 19:35:29.464;100;1.294;3.9
2025-01-18 19:35:29.564;100;1.295;3.9
2025-01-18 19:35:29.663;100;1.294;3.9
2025-01-18 19:35:29.764;100;1.294;3.9
2025-01-18 19:35:29.864;100;1.294;3.9
2025-01-18 19:35:29.964;100;1.294;3.9
2025-01-18 19:35:30.064;100;1.294;3.9
2025-01-18 19:35:30.164;100;1.294;3.9
2025-01-18 19:35:30.264;100;1.294;3.9
2025-01-18 19:35:30.364;100;1.295;3.9
2025-01-18 19:35:30.464;100;1.295;3.9
2025-01-18 19:35:30.564;100;1.294;3.9
2025-01-18 19:35:30.664;100;1.295;3.9
2025-01-18 19:35:30.764;100;1.295;3.9
2025-01-18 19:35:30.864;100;1.294;3.9
2025-01-18 19:35:30.964;100;1.294;3.9
2025-01-18 19:35:31.064;100;1.295;3.9
2025-01-18 19:35:31.164;100;1.294;3.9
2025-01-18 19:35:31.264;100;1.295;3.9
2025-01-18 19:35:31.364;100;1.295;3.9
2025-01-18 19:35:31.464;100;1.294;3.9
2025-01-18 19:35:31.564;100;1.294;3.9
2025-01-18 19:35:31.664;100;1.294;3.9
2025-01-18 19:35:31.764;100;1.294;3.9
2025-01-18 19:35:31.864;100;1.295;3.9
2025-01-18 19:35:31.964;100;1.295;3.9
2025-01-18 19:35:32.064;100;1.294;3.9
2025-01-18 19:35:32.164;100;1.294;3.9
2025-01-18 19:35:32.264;100;1.295;3.9
2025-01-18 19:35:32.364;100;1.294;3.9
2025-01-18 19:35:32.464;100;1.295;3.9
2025-01-18 19:35:32.563;100;1.295;3.9
2025-01-18 19:35:32.664;100;1.295;3.9
2025-01-18 19:35:32.764;100;1.295;3.9
2025-01-18 19:35:32.864;100;1.295;3.9
2025-01-18 19:35:32.964;100;1.294;3.9
2025-01-18 19:35:33.064;100;1.295;3.9
2025-01-18 19:35:33.164;100;1.295;3.9
2025-01-18 19:35:33.264;100;1.295;3.9
2025-01-18 19:35:33.364;100;1.295;3.9
2025-01-18 19:35:33.464;100;1.295;3.9
2025-01-18 19:35:33.563;100;1.295;3.9
2025-01-18 19:35:33.663;100;1.295;3.9
2025-01-18 19:35:33.764;100;1.295;3.9
2025-01-18 19:35:33.863;100;1.295;3.9
2025-01-18 19:35:33.964;100;1.295;3.9
2025-01-18 19:35:34.064;100;1.295;3.9
2025-01-18 19:35:34.163;100;1.295;3.9
2025-01-18 19:35:34.264;100;1.295;3.9
2025-01-18 19:35:34.363;100;1.295;3.9
2025-01-18 19:35:34.464;100;1.295;3.9
2025-01-18 19:35:34.564;100;1.295;3.9
2025-01-18 19:35:34.663;100;1.295;3.9
2025-01-18 19:35:34.764;100;1.295;3.9
2025-01-18 19:35:34.864;100;1.295;3.9
2025-01-18 19:35:34.964;100;1.295;3.9
2025-01-18 19:35:35.064;100;1.295;3.9
2025-01-18 19:35:35.164;100;1.295;3.9
2025-01-18 19:35:35.264;100;1.295;3.9
2025-01-18 19:35:35.364;100;1.295;3.9
2025-01-18 19:35:35.464;100;1.295;3.9
2025-01-18 19:35:35.564;100;1.295;3.9
2025-01-18 19:35:35.663;100;1.295;3.9
2025-01-18 19:35:35.764;100;1.295;3.9
2025-01-18 19:35:35.864;100;1.295;3.9
2025-01-18 19:35:35.964;100;1.295;3.9
2025-01-18 19:35:36.064;100;1.295;3.9
2025-01-18 19:35:36.164;100;1.321;3.9
2025-01-18 19:35:36.264;100;1.295;3.9
2025-01-18 19:35:36.364;100;1.295;3.9
2025-01-18 19:35:36.464;100;1.295;3.9
2025-01-18 19:35:36.564;100;1.295;3.9
2025-01-18 19:35:36.664;100;1.295;3.9
2025-01-18 19:35:36.764;100;1.295;3.9
2025-01-18 19:35:36.864;100;1.295;3.9
2025-01-18 19:35:36.964;100;1.295;3.9
2025-01-18 19:35:37.064;100;1.295;3.9
2025-01-18 19:35:37.164;100;1.295;3.9
2025-01-18 19:35:37.264;100;1.295;3.9
2025-01-18 19:35:37.364;100;1.295;3.9
2025-01-18 19:35:37.464;100;1.295;3.9
2025-01-18 19:35:37.564;100;1.295;3.9
2025-01-18 19:35:37.663;100;1.295;3.9
2025-01-18 19:35:37.764;100;1.295;3.9
2025-01-18 19:35:37.864;100;1.295;3.9
2025-01-18 19:35:37.964;100;1.295;3.9
2025-01-18 19:35:38.064;100;1.295;3.9
2025-01-18 19:35:38.164;100;1.321;3.9
2025-01-18 19:35:38.264;100;1.295;3.9
2025-01-18 19:35:38.364;100;1.295;3.9
2025-01-18 19:35:38.464;100;1.295;3.9
2025-01-18 19:35:38.564;100;1.295;3.9
2025-01-18 19:35:38.664;100;1.295;3.9
2025-01-18 19:35:38.764;100;1.295;3.9
2025-01-18 19:35:38.864;100;1.295;3.9
2025-01-18 19:35:38.964;100;1.295;3.9
2025-01-18 19:35:39.064;100;1.295;3.9
2025-01-18 19:35:39.164;100;1.295;3.9
2025-01-18 19:35:39.264;100;1.295;3.9
2025-01-18 19:35:39.363;100;1.295;3.9
2025-01-18 19:35:39.464;100;1.295;3.9
2025-01-18 19:35:39.564;100;1.295;3.9
2025-01-18 19:35:39.664;100;1.295;3.9
2025-01-18 19:35:39.764;100;1.295;3.9
2025-01-18 19:35:39.864;100;1.295;3.9
2025-01-18 19:35:39.964;100;1.295;3.9
2025-01-18 19:35:40.064;100;1.295;3.9
2025-01-18 19:35:40.164;100;1.295;3.9
2025-01-18 19:35:40.264;100;1.295;3.9
2025-01-18 19:35:40.364;100;1.321;3.9
2025-01-18 19:35:40.464;100;1.374;3.9
2025-01-18 19:35:40.564;100;1.401;3.9
2025-01-18 19:35:40.664;100;1.560;3.9
2025-01-18 19:35:40.764;100;2.568;3.9
2025-01-18 19:35:40.864;100;8.989;3.9
2025-01-18 19:35:40.964;100;17.639;3.8
2025-01-18 19:35:41.064;100;32.258;3.8
2025-01-18 19:35:41.164;100;41.278;3.8
2025-01-18 19:35:41.264;100;45.629;3.8
2025-01-18 19:35:41.364;100;46.160;3.8
2025-01-18 19:35:41.464;100;45.921;3.8
2025-01-18 19:35:41.564;100;45.762;3.8
2025-01-18 19:35:41.663;100;45.364;3.8
2025-01-18 19:35:41.764;100;44.860;3.8
2025-01-18 19:35:41.864;100;44.435;3.8
2025-01-18 19:35:41.964;100;44.568;3.8
2025-01-18 19:35:42.064;100;44.037;3.8
2025-01-18 19:35:42.164;100;44.064;3.8
2025-01-18 19:35:42.264;100;43.480;3.8
2025-01-18 19:35:42.364;100;43.586;3.8
2025-01-18 19:35:42.464;100;43.003;3.8
2025-01-18 19:35:42.564;100;42.578;3.8
2025-01-18 19:35:42.664;100;42.101;3.8
2025-01-18 19:35:42.764;100;41.729;3.8
2025-01-18 19:35:42.864;100;40.747;3.8
2025-01-18 19:35:42.964;100;39.925;3.8
2025-01-18 19:35:43.064;100;38.811;3.8
2025-01-18 19:35:43.163;100;37.962;3.8
2025-01-18 19:35:43.264;100;36.529;3.8
2025-01-18 19:35:43.364;100;35.760;3.8
2025-01-18 19:35:43.464;100;34.911;3.8
2025-01-18 19:35:43.564;100;34.062;3.8
2025-01-18 19:35:43.664;100;32.523;3.8
2025-01-18 19:35:43.764;100;30.798;3.8
2025-01-18 19:35:43.864;100;28.994;3.8
